Date,platinum
2021-02-08,1177.3
2021-02-07,1145.4
2021-02-05,1136.1
2021-02-04,1105.2
2021-02-03,1116.9
2021-02-02,1097.8
2021-02-01,1140.3
2021-01-31,1098.1
2021-01-29,1083.4
2021-01-28,1076.5
2021-01-27,1079.0
2021-01-26,1107.4
2021-01-25,1104.7
2021-01-24,1112.35
2021-01-22,1111.6
2021-01-21,1128.0
2021-01-20,1116.4
2021-01-19,1092.0
2021-01-18,1098.1
2021-01-17,1072.3
2021-01-15,1089.9
2021-01-14,1126.4
2021-01-13,1110.7
2021-01-12,1067.8
2021-01-11,1044.6
2021-01-10,1055.8
2021-01-08,1071.3
2021-01-07,1124.6
2021-01-06,1110.2
2021-01-05,1119.6
2021-01-04,1071.5
2021-01-03,1091.1
2021-01-01,1079.5
2020-12-31,1079.2
2020-12-30,1078.5
2020-12-29,1060.7
2020-12-28,1049.1
2020-12-27,1047.2
2020-12-24,1035.0
2020-12-23,1023.9
2020-12-22,1015.8
2020-12-21,1021.7
2020-12-20,1044.5
2020-12-18,1049.0
2020-12-17,1055.8
2020-12-16,1040.7
2020-12-15,1044.1
2020-12-14,1020.2
2020-12-13,1025.55
2020-12-11,1026.3
2020-12-10,1031.7
2020-12-09,1022.4
2020-12-08,1041.0
2020-12-07,1053.5
2020-12-06,1059.15
2020-12-04,1076.4
2020-12-03,1042.0
2020-12-02,1016.1
2020-12-01,1008.3
2020-11-30,970.5
2020-11-29,971.05
2020-11-27,970.3
2020-11-26,965.05
2020-11-25,971.3
2020-11-24,962.8
2020-11-23,935.9
2020-11-22,952.95
2020-11-20,961.1
2020-11-19,954.5
2020-11-18,953.7
2020-11-17,940.8
2020-11-16,931.3
2020-11-15,896.55
2020-11-13,900.0
2020-11-12,887.6
2020-11-11,871.8
2020-11-10,896.3
2020-11-09,870.4
2020-11-08,906.0
2020-11-06,902.8
2020-11-05,902.8
2020-11-04,873.2
2020-11-03,877.8
2020-11-02,863.3
2020-11-01,841.25
2020-10-30,852.4
2020-10-29,853.8
2020-10-28,875.0
2020-10-27,886.8
2020-10-26,877.4
2020-10-25,903.15
2020-10-23,906.7
2020-10-22,884.0
2020-10-21,893.9
2020-10-20,877.3
2020-10-19,863.5
2020-10-18,867.45
2020-10-16,869.3
2020-10-15,861.3
2020-10-14,863.4
2020-10-13,873.3
2020-10-12,876.3
2020-10-11,891.65
2020-10-09,894.3
2020-10-08,864.0
2020-10-07,866.8
2020-10-06,870.3
2020-10-05,904.7
2020-10-04,893.05
2020-10-02,891.4
2020-10-01,906.0
2020-09-30,909.2
2020-09-29,897.7
2020-09-28,888.2
2020-09-27,855.85
2020-09-25,849.2
2020-09-24,845.3
2020-09-23,850.8
2020-09-22,866.2
2020-09-21,884.7
2020-09-20,933.65
2020-09-18,946.1
2020-09-17,938.7
2020-09-16,980.4
2020-09-15,989.1
2020-09-14,965.4
2020-09-13,939.45
2020-09-11,946.0
2020-09-10,947.2
2020-09-09,930.7
2020-09-08,917.5
2020-09-07,912.35
2020-09-06,903.0
2020-09-04,905.3
2020-09-03,897.0
2020-09-02,912.3
2020-09-01,961.4
2020-08-31,947.4
2020-08-30,946.7
2020-08-28,949.1
2020-08-27,930.1
2020-08-26,947.3
2020-08-25,941.4
2020-08-24,931.7
2020-08-23,925.0
2020-08-21,932.8
2020-08-20,933.7
2020-08-19,962.7
2020-08-18,982.1
2020-08-17,974.5
2020-08-16,959.1
2020-08-14,965.8
2020-08-13,989.9
2020-08-12,966.1
2020-08-11,978.4
2020-08-10,1009.4
2020-08-09,983.65
2020-08-07,977.4
2020-08-06,1020.8
2020-08-05,994.9
2020-08-04,961.0
2020-08-03,938.0
2020-08-02,922.0
2020-07-31,919.7
2020-07-30,920.55
2020-07-29,959.35
2020-07-28,987.65
2020-07-27,995.9
2020-07-26,966.15
2020-07-24,955.35
2020-07-23,949.55
2020-07-22,962.4
2020-07-21,926.85
2020-07-20,862.8
2020-07-19,851.8
2020-07-17,850.9
2020-07-16,833.7
2020-07-15,846.35
2020-07-14,843.85
2020-07-13,849.9
2020-07-12,844.8
2020-07-10,841.5
2020-07-09,853.55
